farmer_age,years_experience,land_acres,annual_farm_revenue,alt_income_source,alt_annual_income,total_annual_income,collateral_type,collateral_value,credit_score,loan_amount_requested,approved
41,17,14.91,547961.35,None,0,547961.35,Fixed Deposit,220660.43,730,414758.42,1
56,32,15.97,416773.29,Agri-Services,45435.21,462208.5,Land Title Deeds,1227879.56,713,414955.75,1
70,48,79.48,2341609.14,Agri-Services,71383.7,2412992.84,Land Title Deeds,7328455.83,538,2036093.25,1
66,42,26,695830.98,None,0,695830.98,Land Title Deeds,1364697.78,807,694448.58,1
24,0,5.27,151842.04,Dairy,54531.91,206373.95,Land Title Deeds,378404.4,538,208876.64,1
53,32,27,681039.27,Poultry,231601.53,912640.81,Land Title Deeds,2566285.63,472,693139.82,1
41,19,4.04,111484.46,Dairy,130552.93,242037.39,Land Title Deeds,375471.8,681,162294.56,1
24,0,27.6,1134900.04,Agri-Services,132797.86,1267697.9,Gold/Jewelry,206002.75,812,707229.05,1
68,45,84.91,2880834.86,Dairy,127532.76,3008367.62,Land Title Deeds,7094140.03,509,2143345.04,1
63,42,39.18,1549307.4,Dairy,130184.38,1679491.78,Land Title Deeds,2398404.14,435,1017383.82,1
44,24,98.78,2109130.96,Poultry,181034.28,2290165.25,Land Title Deeds,7262749.8,791,2567710.48,1
43,19,20.09,657119.08,None,0,657119.08,Land Title Deeds,1529917.93,656,553787.08,1
46,26,6.3,296671.65,None,0,296671.65,Land Title Deeds,548818.87,724,250518.32,1
24,1,94.42,3131612.83,None,0,3131612.83,Land Title Deeds,7995397.59,441,2375162.51,1
28,8,34.41,1256723.5,None,0,1256723.5,Gold/Jewelry,804687.28,511,914276.54,0
24,3,81.75,2737846.57,Agri-Services,129902.87,2867749.44,Fixed Deposit,221727.85,479,2107595.45,0
56,36,7.69,147451.45,None,0,147451.45,Land Title Deeds,669629.64,670,243359.8,1
59,35,13,241482.5,None,0,241482.5,Gold/Jewelry,653726.51,847,371545.09,1
66,44,33.21,1089730.62,None,0,1089730.62,Fixed Deposit,108346.84,649,863946.83,1
74,50,95.52,2876473.57,None,0,2876473.57,Land Title Deeds,6862983.75,728,2411007.05,1
57,36,73.76,2435653.12,Retail Shop,127322.42,2562975.54,Land Title Deeds,3951239.47,535,1916806.17,1
74,50,25.6,585173.97,Poultry,269036.77,854210.74,Land Title Deeds,1808266.44,512,697564.2,1
22,0,47.35,1536037.68,Agri-Services,109246.12,1645283.8,Land Title Deeds,4152703.33,628,1269567.85,1
35,14,65.58,1893401.7,Dairy,76236.31,1969638.01,Land Title Deeds,5695074.29,471,1723458.79,1
60,36,90.52,3925120.58,None,0,3925120.58,Land Title Deeds,5819740.91,850,2286315.01,1
57,34,77.77,3531818.3,Government Pension,141488.56,3673306.86,Tractor/Machinery,1347148.71,532,1976807.3,1
50,26,71.72,1948877.13,None,0,1948877.13,Land Title Deeds,3871351.66,630,1813011.97,1
42,19,81.71,1700184.48,None,0,1700184.48,Land Title Deeds,5585145.55,850,2132246.98,1
40,20,14.18,380790.64,Dairy,132550.38,513341.02,Land Title Deeds,1254910.3,788,433356.16,1
53,30,94.65,2624183.96,Poultry,201768.64,2825952.6,Land Title Deeds,7342881.46,803,2449153.7,1
31,8,40.67,721224.99,Agri-Services,87312.52,808537.5,Land Title Deeds,3672315.85,653,1038295.42,1
57,33,75.12,2177270.79,Retail Shop,62075.26,2239346.06,Land Title Deeds,5469173.49,832,1914638.56,1
62,38,86.33,1891140.26,Agri-Services,102342.63,1993482.89,Land Title Deeds,6049502.14,413,2194655.91,1
52,30,94.41,2098272.69,Retail Shop,56183.28,2154455.97,Land Title Deeds,8621929.29,539,2415921.81,1
39,16,9.17,332539.11,Agri-Services,74845.09,407384.2,Land Title Deeds,843525.69,404,284695.34,1
29,9,49,1283582.79,Poultry,273729.26,1557312.05,Land Title Deeds,2813801.28,596,1267303.78,1
50,29,97.09,3543696.09,Poultry,278386.46,3822082.55,Land Title Deeds,6659287.11,617,2464055.46,1
29,6,95.36,2988410.85,None,0,2988410.85,Gold/Jewelry,691814.61,566,2396765.84,0
31,7,56.25,1997696.64,Government Pension,137647.74,2135344.38,Land Title Deeds,3291515.85,613,1477548.31,1
43,19,75.52,1729452.22,Retail Shop,133743.19,1863195.41,Fixed Deposit,431408.95,691,1908017.08,1
71,50,75.88,1894809.37,None,0,1894809.37,Land Title Deeds,5725455.29,520,1918488.47,1
37,17,96.14,2828090.61,Agri-Services,62694.35,2890784.96,Land Title Deeds,9273514.38,511,2486250.4,1
72,48,67.26,1507255.11,None,0,1507255.11,Land Title Deeds,3791756.75,675,1701867.53,1
73,50,93.05,3126496.13,Government Pension,149802.18,3276298.3,Tractor/Machinery,704025.9,680,2401258.49,1
29,7,26.99,1003833.21,Agri-Services,55628.58,1059461.79,Land Title Deeds,2484882.7,632,729332.13,1
72,50,14.53,608700.36,Agri-Services,65967.86,674668.22,Land Title Deeds,1379929.74,704,394790.03,1
71,50,95.46,2987238.28,None,0,2987238.28,Land Title Deeds,6928800.2,734,2465024.92,1
39,15,96.11,2498792.11,Dairy,100518.1,2599310.21,Gold/Jewelry,185490.03,513,2459422.38,1
49,27,19.78,562531.83,Government Pension,103892,666423.83,Land Title Deeds,1322421.14,807,541030.98,1
50,28,84.79,1839450.69,None,0,1839450.69,Land Title Deeds,8276994.95,593,2155978.11,1
22,2,66.42,2077050.3,None,0,2077050.3,Land Title Deeds,4584298.23,489,1721893.14,1
33,10,62.74,1723003.82,Agri-Services,96227.47,1819231.29,Land Title Deeds,3560799.63,673,1581521.67,1
23,1,68.94,1231844.88,Agri-Services,69303.42,1301148.3,Fixed Deposit,121277.23,662,1739585.64,1
32,9,33.63,1306612.06,Poultry,265699.86,1572311.92,Land Title Deeds,2732777.8,612,908752.15,1
66,45,99.17,4230293.57,Agri-Services,108326.28,4338619.85,None,0,682,2567313.42,0
23,0,39.43,1128204.35,None,0,1128204.35,Gold/Jewelry,344284.18,582,1047497.07,0
30,9,3.53,133247.45,Dairy,163019.69,296267.14,Land Title Deeds,228638.06,626,162218.65,1
70,49,49.56,1730347.45,Poultry,197091.87,1927439.33,Land Title Deeds,3678359.66,774,1312737.48,1
29,6,12.08,464205.4,Dairy,129607.64,593813.04,Land Title Deeds,946634.58,750,381037.57,1
62,38,48.13,1591730.41,Government Pension,63134.92,1654865.34,Fixed Deposit,384946.4,560,1277699.33,1
57,33,78.39,1352562.39,Government Pension,140619.46,1493181.85,Land Title Deeds,6334173.38,519,2039520.95,1
55,34,17.63,634625.15,Poultry,241763.62,876388.77,Land Title Deeds,1409406.61,612,493006.65,1
31,7,39.9,800928.51,None,0,800928.51,Land Title Deeds,3511923.9,373,1015044.82,1
